price,bedrooms,beds,bathrooms,accommodates,amenities_count,log_amenities_count,host_age_days,neighbourhood_median_price,is_shared_room,is_private_room,is_entire_place,te_neighbourhood,te_property_type
32.999999999999986,1.0,1.0,1.0,1,6,1.9459101490553132,3179.0,59.000000000000014,0,1,0,75.05594529637011,163.3338196098838
30.000000000000004,1.0,1.0,1.0,1,11,2.4849066497880004,3699.0,84.49999999999997,0,1,0,100.80765571935426,163.3338196098838
275.00000000000057,2.0,4.0,2.0,4,26,3.295836866004329,3448.0,99.0,0,0,1,129.3971284027635,141.45212834690346
249.9999999999999,1.0,1.0,1.0,1,20,3.044522437723423,3858.0,164.9999999999998,0,1,0,199.7005481761192,190.9922365885418
110.00000000000004,2.0,1.0,1.0,3,2,1.0986122886681098,3356.0,150.00000000000009,0,0,1,182.0983055504649,141.45212834690346
139.00000000000009,1.0,1.0,1.0,3,23,3.1780538303479458,4842.0,199.99999999999991,0,0,1,248.09369169085764,141.45212834690346
125.00000000000004,2.0,2.0,1.0,4,19,2.995732273553991,5016.0,100.00000000000004,0,0,1,121.54126463186292,163.3338196098838
100.00000000000004,1.0,1.0,1.0,2,15,2.772588722239781,5089.0,150.00000000000009,0,1,0,175.48427598748248,141.45212834690346
88.99999999999999,0.0,1.0,1.0,2,23,3.1780538303479458,3639.0,99.0,0,1,0,129.45214501223427,129.47930637894277
48.99999999999999,1.0,1.0,1.0,2,7,2.0794415416798357,4418.0,64.99999999999999,0,1,0,82.66832305079724,141.45212834690346
850.0000000000003,1.0,1.0,2.0,2,26,3.295836866004329,3114.0,199.0,0,0,1,240.43814447192233,141.45212834690346
55.000000000000014,1.0,1.0,1.0,1,13,2.6390573296152584,3363.0,100.00000000000004,0,1,0,130.33464737540083,141.45212834690346
76.99999999999996,1.0,1.0,1.0,2,11,2.4849066497880004,3711.0,70.00000000000003,0,1,0,82.66639435617824,141.45212834690346
34.99999999999998,1.0,1.0,1.0,2,12,2.5649493574615367,3722.0,76.99999999999996,0,1,0,98.48318089296953,141.45212834690346
499.99999999999983,3.0,4.0,2.5,7,24,3.2188758248682006,4871.0,188.5000000000002,0,0,1,224.11830402309607,141.45212834690346
683.9999999999986,3.0,3.0,2.0,4,41,3.7376696182833684,4942.0,150.00000000000009,0,0,1,175.48427598748248,141.45212834690346
125.00000000000004,1.0,1.0,1.0,2,21,3.091042453358316,4276.0,144.99999999999997,0,1,0,167.9626527673892,141.45212834690346
150.00000000000009,2.0,3.0,1.0,4,21,3.091042453358316,3805.0,76.99999999999996,0,0,1,98.48318089296953,141.45212834690346
70.00000000000003,1.0,1.0,1.0,2,15,2.772588722239781,3917.0,,0,0,1,149.25272942876225,141.45212834690346
100.00000000000004,1.0,1.0,1.0,2,20,3.044522437723423,3933.0,71.5,0,1,0,105.74585243609077,112.7636908863228
100.00000000000004,1.0,2.0,1.0,4,18,2.9444389791664403,3568.0,,0,0,1,149.25272942876225,141.45212834690346
254.99999999999991,1.0,1.0,1.0,2,15,2.772588722239781,4713.0,150.00000000000009,0,0,1,182.0983055504649,141.45212834690346
100.00000000000004,2.0,2.0,1.0,4,30,3.4339872044851463,4404.0,88.99999999999999,0,1,0,112.70869800605409,163.3338196098838
161.00000000000003,1.0,1.0,1.0,2,30,3.4339872044851463,4750.0,171.00000000000009,0,0,1,184.76659555831006,141.45212834690346
89.99999999999967,0.0,1.0,1.0,2,9,2.302585092994046,4414.0,150.00000000000009,0,0,1,197.0250609308593,141.45212834690346
100.00000000000004,1.0,1.0,1.0,1,24,3.2188758248682006,5549.0,104.99999999999996,0,1,0,135.76241613403116,190.9922365885418
19.0,1.0,1.0,1.0,1,3,1.3862943611198906,2982.0,47.50000000000003,1,0,0,70.443718283142,163.3338196098838
81.00000000000003,1.0,1.0,1.0,1,13,2.6390573296152584,3866.0,150.00000000000009,0,1,0,175.48427598748248,141.45212834690346
263.99999999999994,2.0,3.0,1.0,5,19,2.995732273553991,3043.0,104.99999999999996,0,0,1,135.76241613403116,190.9922365885418
133.99999999999997,1.0,1.0,1.0,2,10,2.3978952727983707,4268.0,164.9999999999998,0,1,0,199.7005481761192,141.45212834690346
239.99999999999977,2.0,3.0,2.0,6,42,3.7612001156935624,3916.0,100.00000000000004,0,0,1,126.2614554285281,163.3338196098838
68.00000000000001,0.0,1.0,1.0,2,9,2.302585092994046,4197.0,99.0,0,0,1,129.45214501223427,141.45212834690346
85.00000000000001,1.0,1.0,1.0,2,18,2.9444389791664403,3596.0,164.9999999999998,0,1,0,227.0185491801247,141.45212834690346
38.99999999999999,1.0,3.0,1.0,5,30,3.4339872044851463,3183.0,38.99999999999999,0,1,0,62.39737016837075,135.39555037106976
74.99999999999997,1.0,1.0,1.0,2,23,3.1780538303479458,4000.0,108.00000000000004,0,0,1,166.04911697253692,163.3338196098838
74.99999999999997,1.0,1.0,1.0,2,28,3.367295829986474,4923.0,79.99999999999997,0,1,0,101.23870028449196,141.45212834690346
298.00000000000006,3.0,5.0,1.5,7,21,3.091042453358316,5568.0,136.00000000000006,0,0,1,159.97266098859163,164.1573688120861
78.0,0.0,2.0,1.0,2,11,2.4849066497880004,4813.0,139.99999999999994,0,0,1,163.4081970447713,141.45212834690346
74.99999999999997,1.0,1.0,1.0,2,19,2.995732273553991,3513.0,64.99999999999999,0,1,0,82.66832305079724,141.45212834690346
175.00000000000006,1.0,1.0,1.0,3,14,2.70805020110221,4855.0,160.00000000000023,0,0,1,194.5503107025132,190.9922365885418
144.99999999999997,0.0,2.0,1.0,4,24,3.2188758248682006,3735.0,153.4999999999999,0,0,1,198.06525462029944,185.81316523145617
150.00000000000009,3.0,3.0,1.0,5,15,2.772588722239781,3847.0,97.0,0,0,1,117.95766974942738,141.45212834690346
139.99999999999994,1.0,1.0,1.0,3,16,2.833213344056216,4741.0,64.99999999999999,0,0,1,82.66832305079724,185.81316523145617
248.9999999999997,2.0,4.0,1.0,6,28,3.367295829986474,0.0,160.00000000000023,0,0,1,174.98025949517486,141.45212834690346
349.9999999999999,0.0,1.0,1.0,2,7,2.0794415416798357,5161.0,150.00000000000009,0,0,1,189.43056818271063,141.45212834690346
110.00000000000004,1.0,1.0,1.0,3,23,3.1780538303479458,3717.0,89.99999999999967,0,0,1,126.8421332864733,141.45212834690346
100.00000000000004,1.0,1.0,1.0,3,13,2.6390573296152584,4456.0,70.50000000000006,0,0,1,86.25638787265449,141.45212834690346
85.00000000000001,1.0,1.0,1.0,2,9,2.302585092994046,3418.0,76.99999999999996,0,0,1,98.48318089296953,141.45212834690346
99.0,1.0,2.0,1.0,3,19,2.995732273553991,4950.0,110.00000000000004,0,0,1,151.10906878877682,141.45212834690346
45.000000000000014,1.0,2.0,0.5,3,19,2.995732273553991,3941.0,,0,1,0,149.25272942876225,163.3338196098838
125.00000000000004,1.0,1.0,1.0,1,27,3.332204510175204,3687.0,156.0,0,1,0,189.82624741572525,141.45212834690346
109.00000000000009,2.0,2.0,1.5,6,24,3.2188758248682006,3512.0,,0,0,1,149.25272942876225,141.45212834690346
249.9999999999999,2.0,2.0,2.0,4,23,3.1780538303479458,4678.0,76.99999999999996,0,0,1,98.48318089296953,141.45212834690346
